final_classification,cbs_species_definition,primary_survey_type,taxonomic_id,taxonomic_source,kingdom,phylum,class,order,family,genus,species,rank,species_lump,species_lump_taxonomic_id
balanus spp,balanus spp,NA,106122,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,NULL,5,Balanus spp,106122
bangia spp,bangia spp,point contact,143807,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Bangia,NULL,3,Bangia spp,143807
batillaria attramentaria,batillaria attramentaria,quadrat,397021,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Caenogastropoda incertae,Batillariidae,Batillaria,Batillaria attramentaria,3,Batillaria attramentaria,397021
battersia norrisii,battersia norrisii,point contact,707776,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Sphacelariales,Sphacelariaceae,Battersia,Battersia norrisii,4,Sphacelaria/Battersia spp,143782
battersia plumigera,battersia plumigera,point contact,624205,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Sphacelariales,Sphacelariaceae,Battersia,Battersia plumigera,4,Sphacelaria/Battersia spp,143782
battersia racemosa,battersia racemosa,point contact,624206,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Sphacelariales,Sphacelariaceae,Battersia,Battersia racemosa,3,Sphacelaria/Battersia spp,143782
besa leptophylla,besa leptophylla,point contact,1373700,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Besa,Besa leptophylla,3,Besa leptophylla,1373700
bittium spp,bittium spp,NA,137758,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Caenogastropoda incertae,Cerithiidae,Bittium,NULL,5,Bittium spp,137758
blidingia spp,blidingia spp,point contact,144293,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Chlorophyta,Ulvophyceae,Ulvales,Kornmanniaceae,Blidingia,NULL,4,Ulvophyceae,146216
blidingia subsalsa,blidingia subsalsa,point contact,145952,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Chlorophyta,Ulvophyceae,Ulvales,Kornmanniaceae,Blidingia,Blidingia subsalsa,4,Ulvophyceae,146216
